job_id,service_time_ms,arrival_time_ms,priority
F00235,405,6998,1
F00236,285,7038,1
F00237,155,7048,1
F00238,249,7076,1
F00239,436,7091,1
F00240,388,7115,1
F00241,186,7136,1
F00242,305,7148,1
F00243,141,7184,1
F00244,341,7232,1
F00245,280,7245,1
F00246,355,7262,1
F00247,221,7283,1
F00248,233,7303,1
F00249,172,7338,1
F00250,223,7358,1
F00251,310,7377,1
F00252,191,7391,1
F00253,452,7414,1
F00254,422,7457,1
F00255,144,7473,1
F00256,498,7510,1
F00257,487,7530,1
F00258,255,7542,1
F00259,408,7576,1
F00260,203,7605,1
F00261,311,7647,1
F00262,227,7677,1
F00263,382,7700,1
F00264,410,7744,1
F00265,368,7787,1
F00266,344,7823,1
F00267,287,7836,1
F00268,299,7882,1
F00269,445,7915,1
F00270,305,7942,1
F00271,293,7992,1
F00272,224,8027,1
F00273,155,8069,1
F00274,494,8092,1
F00275,318,8103,1
F00276,241,8135,1
F00277,323,8173,1
F00278,156,8211,1
F00279,426,8246,1
F00280,474,8295,1
F00281,112,8309,1
F00282,319,8356,1
F00283,390,8377,1
F00284,237,8424,1
F00285,298,8449,1
F00286,309,8481,1
F00287,232,8500,1
F00288,233,8540,1
F00289,398,8554,1
F00290,448,8569,1
F00291,266,8587,1
F00292,325,8637,1
F00293,431,8649,1
F00294,447,8660,1
F00295,338,8696,1
F00296,268,8737,1
F00297,355,8779,1
F00298,337,8806,1
F00299,214,8848,1
F00300,315,8893,1
F00301,214,8916,1
F00302,245,8948,1
F00303,335,8979,1
F00304,413,9018,1
F00305,368,9055,1
F00306,107,9072,1
F00307,185,9103,1
F00308,304,9143,1
F00309,169,9184,1
F00310,307,9211,1
F00311,134,9251,1
F00312,219,9276,1
F00313,291,9291,1
F00314,131,9313,1
F00315,154,9323,1
F00316,391,9361,1
F00317,232,9402,1
F00318,371,9426,1
F00319,378,9450,1
F00320,170,9468,1
F00321,295,9507,1
F00322,188,9554,1
F00323,497,9585,1
F00324,376,9602,1
F00325,211,9637,1
F00326,465,9673,1
F00327,265,9684,1
F00328,221,9719,1
F00329,373,9761,1
F00330,220,9786,1
F00331,137,9818,1
F00332,421,9833,1
F00333,170,9850,1
F00334,211,9866,1
F00335,316,9889,1
F00336,218,9919,1
F00337,455,9969,1
F00338,343,10019,1
F00339,320,10066,1
F00340,405,10107,1
F00341,232,10146,1
F00342,124,10188,1
F00343,231,10232,1
F00344,473,10269,1
F00345,174,10306,1
F00346,395,10345,1
F00347,275,10388,1
F00348,277,10398,1
F00349,337,10414,1
F00350,393,10457,1
F00351,363,10488,1
F00352,223,10538,1
F00353,108,10574,1
F00354,303,10622,1
F00355,289,10661,1
F00356,436,10700,1
F00357,242,10732,1
F00358,191,10765,1
F00359,404,10803,1
F00360,209,10852,1
F00361,349,10898,1
F00362,131,10918,1
F00363,307,10954,1
F00364,159,10967,1
F00365,471,10994,1
F00366,143,11026,1
F00367,285,11058,1
F00368,493,11097,1
F00369,179,11136,1
F00370,441,11171,1
F00371,274,11205,1
F00372,306,11217,1
F00373,284,11266,1
F00374,223,11287,1
F00375,168,11303,1
F00376,322,11327,1
F00377,221,11347,1
F00378,379,11377,1
F00379,429,11395,1
F00380,159,11437,1
F00381,432,11450,1
F00382,117,11478,1
F00383,355,11499,1
F00384,358,11517,1
F00385,404,11538,1
F00386,371,11567,1
F00387,223,11615,1
F00388,208,11649,1
F00389,276,11697,1
F00390,227,11727,1
F00391,173,11741,1
F00392,422,11766,1
F00393,330,11796,1
F00394,280,11844,1
F00395,128,11893,1
F00396,249,11912,1
F00397,218,11923,1
F00398,313,11970,1
F00399,134,12007,1
F00400,333,12018,1
F00401,172,12054,1
F00402,315,12096,1
F00403,375,12134,1
F00404,158,12156,1
F00405,290,12192,1
F00406,454,12233,1
F00407,426,12257,1
F00408,475,12275,1
F00409,362,12310,1
F00410,235,12345,1
F00411,393,12357,1
F00412,120,12389,1
F00413,457,12406,1
F00414,484,12438,1
F00415,499,12465,1
F00416,109,12508,1
F00417,356,12528,1
F00418,367,12557,1
F00419,312,12581,1
F00420,269,12606,1
F00421,104,12623,1
F00422,249,12658,1
F00423,445,12697,1
F00424,322,12731,1
F00425,453,12770,1
F00426,143,12820,1
F00427,202,12865,1
F00428,175,12899,1
F00429,224,12933,1
F00430,120,12973,1
F00431,481,12991,1
F00432,289,13037,1
F00433,269,13058,1
F00434,187,13098,1
F00435,144,13142,1
F00436,488,13157,1
F00437,369,13180,1
F00438,351,13211,1
F00439,426,13241,1
F00440,130,13262,1
F00441,455,13293,1
F00442,122,13329,1
F00443,499,13342,1
F00444,162,13374,1
F00445,224,13411,1
F00446,298,13457,1
F00447,138,13468,1
F00448,202,13492,1
F00449,237,13528,1
F00450,137,13567,1
F00451,454,13616,1
F00452,244,13630,1
F00453,456,13670,1
F00454,154,13719,1
F00455,271,13746,1
F00456,370,13780,1
F00457,166,13826,1
F00458,203,13850,1
F00459,330,13873,1
F00460,387,13898,1
F00461,364,13924,1
F00462,169,13943,1
F00463,204,13967,1
F00464,373,14000,1
F00465,441,14023,1
F00466,237,14051,1
F00467,423,14076,1
F00468,354,14090,1
F00469,246,14110,1
F00470,468,14158,1
F00471,156,14176,1
F00472,357,14189,1
F00473,122,14236,1
F00474,326,14255,1
F00475,292,14295,1
F00476,202,14328,1
F00477,426,14377,1
F00478,464,14415,1
F00479,425,14431,1
F00480,353,14470,1
F00481,172,14489,1
F00482,130,14505,1
F00483,424,14542,1
F00484,156,14571,1
F00485,401,14607,1
F00486,228,14656,1
F00487,244,14671,1
F00488,294,14717,1
F00489,412,14755,1
F00490,256,14781,1
F00491,338,14827,1
F00492,379,14853,1
F00493,308,14899,1
F00494,131,14948,1
F00495,403,14972,1
F00496,441,15021,1
F00497,229,15046,1
F00498,386,15078,1
F00499,367,15109,1
F00500,226,15152,1
F00501,477,15185,1
F00502,290,15221,1
F00503,172,15271,1
F00504,468,15298,1
F00505,326,15343,1
F00506,389,15372,1
F00507,399,15392,1
F00508,162,15404,1
F00509,242,15448,1
F00510,131,15481,1
F00511,436,15498,1
F00512,245,15540,1
F00513,338,15580,1
F00514,434,15617,1
F00515,283,15636,1
F00516,286,15674,1
F00517,309,15685,1
F00518,377,15707,1
F00519,398,15732,1
F00520,440,15767,1
F00521,267,15798,1
F00522,421,15818,1
F00523,386,15856,1
F00524,251,15886,1
F00525,154,15933,1
F00526,243,15975,1
F00527,163,15999,1
F00528,388,16035,1
F00529,346,16064,1
F00530,364,16097,1
F00531,450,16130,1
F00532,310,16174,1
F00533,398,16194,1
F00534,216,16228,1
F00535,364,16255,1
F00536,279,16302,1
F00537,360,16352,1
F00538,155,16374,1
F00539,244,16406,1
F00540,457,16442,1
F00541,162,16462,1
F00542,116,16492,1
F00543,379,16538,1
F00544,281,16561,1
F00545,405,16604,1
F00546,208,16639,1
F00547,183,16684,1
F00548,346,16733,1
F00549,338,16750,1
F00550,476,16796,1
F00551,175,16817,1
F00552,107,16860,1
F00553,241,16874,1
F00554,292,16909,1
F00555,461,16956,1
F00556,230,16970,1
F00557,345,17001,1
F00558,293,17039,1
F00559,170,17059,1
F00560,132,17072,1
F00561,446,17096,1
F00562,149,17146,1
F00563,473,17177,1
F00564,219,17215,1
F00565,326,17228,1
F00566,398,17267,1
F00567,158,17317,1
F00568,228,17341,1
F00569,476,17390,1
F00570,291,17436,1
F00571,382,17453,1
F00572,472,17483,1
F00573,337,17528,1
F00574,335,17578,1
F00575,336,17608,1
F00576,127,17618,1
F00577,319,17657,1
F00578,399,17693,1
F00579,443,17711,1
F00580,167,17724,1
F00581,141,17756,1
F00582,405,17800,1
F00583,449,17821,1
F00584,365,17836,1
F00585,185,17875,1
F00586,456,17924,1
F00587,159,17959,1
F00588,267,18009,1
F00589,143,18032,1
F00590,416,18079,1
F00591,353,18095,1
F00592,302,18117,1
F00593,475,18135,1
F00594,440,18172,1
F00595,117,18186,1
F00596,175,18206,1
F00597,299,18232,1
F00598,337,18266,1
F00599,127,18276,1
F00600,272,18289,1
F00601,460,18304,1
F00602,245,18318,1
F00603,412,18361,1
F00604,186,18380,1
F00605,271,18429,1
F00606,148,18467,1
F00607,387,18516,1
F00608,195,18559,1
F00609,275,18575,1
F00610,370,18590,1
F00611,382,18638,1
F00612,360,18668,1
F00613,352,18707,1
F00614,312,18721,1
F00615,431,18762,1
F00616,441,18790,1
F00617,397,18837,1
F00618,161,18860,1
F00619,119,18893,1
F00620,253,18910,1
F00621,360,18947,1
F00622,197,18995,1
F00623,344,19019,1
F00624,398,19062,1
F00625,344,19103,1
F00626,388,19137,1
F00627,268,19150,1
F00628,433,19181,1
F00629,196,19217,1
F00630,161,19266,1
F00631,489,19308,1
F00632,281,19341,1
F00633,276,19362,1
F00634,328,19399,1
F00635,443,19421,1
F00636,332,19462,1
F00637,358,19488,1
F00638,255,19510,1
F00639,180,19537,1
F00640,117,19586,1
F00641,249,19625,1
F00642,385,19666,1
F00643,394,19686,1
F00644,227,19726,1
F00645,105,19748,1
F00646,405,19785,1
F00647,203,19806,1
F00648,394,19824,1
F00649,194,19844,1
F00650,396,19888,1
F00651,238,19903,1
F00652,335,19932,1
F00653,479,19963,1
F00654,259,19990,1
F00655,152,20014,1
F00656,138,20054,1
F00657,156,20088,1
F00658,186,20101,1
F00659,282,20129,1
F00660,480,20142,1
F00661,195,20181,1
F00662,268,20223,1
F00663,120,20235,1
F00664,292,20248,1
F00665,331,20285,1
F00666,125,20301,1
F00667,167,20324,1
F00668,353,20361,1
F00669,365,20377,1
F00670,133,20409,1
F00671,339,20435,1
F00672,354,20470,1
F00673,378,20516,1
F00674,441,20557,1
F00675,364,20590,1
F00676,475,20611,1
F00677,282,20657,1
F00678,283,20673,1
F00679,137,20711,1
F00680,178,20733,1
F00681,351,20758,1
F00682,233,20778,1
F00683,308,20821,1
F00684,265,20855,1
F00685,182,20882,1
F00686,167,20925,1
F00687,105,20938,1
F00688,429,20969,1
F00689,356,20994,1
F00690,113,21008,1
F00691,102,21035,1
F00692,454,21077,1
F00693,274,21127,1
F00694,495,21176,1
F00695,345,21213,1
F00696,394,21241,1
F00697,186,21266,1
F00698,212,21278,1
F00699,494,21298,1
F00700,275,21327,1
F00701,191,21368,1
F00702,326,21380,1
F00703,268,21428,1
F00704,305,21463,1
F00705,294,21506,1
F00706,225,21552,1
F00707,199,21567,1
F00708,461,21596,1
F00709,342,21629,1
F00710,411,21645,1
F00711,200,21672,1
F00712,109,21703,1
F00713,210,21717,1
F00714,249,21761,1
F00715,251,21784,1
F00716,348,21821,1
F00717,393,21839,1
F00718,255,21868,1
F00719,347,21918,1
F00720,126,21932,1
F00721,124,21967,1
F00722,262,21990,1
F00723,281,22003,1
F00724,123,22016,1
F00725,348,22032,1
F00726,176,22059,1
F00727,435,22103,1
F00728,279,22137,1
F00729,248,22173,1
F00730,321,22213,1
F00731,441,22260,1
F00732,289,22285,1
F00733,176,22319,1
F00734,304,22346,1
F00735,414,22379,1
F00736,105,22401,1
F00737,461,22411,1
F00738,148,22438,1
F00739,305,22485,1
F00740,285,22520,1
F00741,138,22534,1
F00742,440,22544,1
F00743,435,22577,1
F00744,480,22605,1
F00745,203,22655,1
F00746,190,22686,1
F00747,208,22712,1
F00748,488,22732,1
F00749,176,22774,1
F00750,240,22811,1
F00751,115,22857,1
F00752,289,22901,1
F00753,263,22922,1
F00754,158,22939,1
F00755,494,22985,1
F00756,352,23012,1
F00757,122,23043,1
F00758,283,23080,1
F00759,429,23095,1
F00760,365,23114,1
F00761,292,23124,1
F00762,314,23139,1
F00763,166,23185,1
F00764,120,23211,1
F00765,429,23228,1
F00766,285,23274,1
F00767,304,23314,1
F00768,185,23354,1
F00769,500,23382,1
F00770,445,23427,1
F00771,407,23462,1
F00772,411,23476,1
F00773,161,23494,1
F00774,145,23508,1
F00775,242,23541,1
F00776,356,23570,1
F00777,452,23611,1
F00778,232,23640,1
F00779,173,23687,1
F00780,435,23709,1
F00781,159,23733,1
F00782,388,23782,1
F00783,362,23811,1
F00784,449,23824,1
F00785,386,23857,1
F00786,325,23904,1
F00787,486,23938,1
F00788,142,23960,1
F00789,349,23979,1
F00790,187,23996,1
F00791,296,24015,1
F00792,269,24040,1
F00793,480,24083,1
F00794,187,24093,1
F00795,394,24133,1
F00796,418,24149,1
F00797,363,24162,1
F00798,197,24199,1
F00799,118,24237,1
F00800,303,24257,1
F00801,467,24302,1
F00802,222,24351,1
F00803,265,24401,1
F00804,435,24430,1
F00805,362,24468,1
F00806,449,24504,1
F00807,146,24529,1
F00808,362,24568,1
F00809,430,24587,1
F00810,243,24634,1
F00811,465,24674,1
F00812,397,24723,1
F00813,253,24763,1
F00814,485,24810,1
F00815,431,24853,1
F00816,355,24877,1
F00817,191,24918,1
F00818,421,24968,1
F00819,264,25003,1
F00820,483,25049,1
F00821,360,25092,1
F00822,390,25108,1
F00823,361,25135,1
F00824,256,25183,1
F00825,383,25219,1
F00826,425,25266,1
F00827,490,25291,1
F00828,246,25340,1
F00829,285,25367,1
F00830,262,25401,1
F00831,449,25420,1
F00832,185,25431,1
F00833,221,25470,1
F00834,447,25510,1
F00835,127,25531,1
F00836,494,25573,1
F00837,465,25612,1
F00838,442,25626,1
F00839,270,25636,1
F00840,459,25676,1
F00841,467,25693,1
F00842,183,25705,1
F00843,410,25735,1
F00844,103,25775,1
F00845,471,25800,1
F00846,241,25818,1
F00847,305,25829,1
F00848,160,25845,1
F00849,366,25881,1
F00850,146,25902,1
F00851,488,25949,1
F00852,480,25964,1
F00853,249,26011,1
F00854,141,26030,1
F00855,161,26043,1
F00856,224,26063,1
F00857,117,26104,1
F00858,220,26154,1
F00859,344,26173,1
F00860,206,26213,1
F00861,320,26241,1
F00862,223,26267,1
F00863,309,26292,1
F00864,389,26314,1
F00865,136,26354,1
F00866,433,26387,1
F00867,102,26427,1
F00868,410,26464,1
F00869,446,26494,1
F00870,464,26526,1
F00871,231,26571,1
F00872,200,26592,1
F00873,171,26640,1
F00874,216,26680,1
F00875,480,26718,1
F00876,135,26745,1
F00877,147,26766,1
F00878,332,26810,1
F00879,313,26855,1
F00880,321,26888,1
F00881,142,26938,1
F00882,338,26950,1
F00883,482,26988,1
F00884,282,27006,1
F00885,447,27039,1
F00886,383,27067,1
F00887,254,27107,1
F00888,443,27137,1
F00889,192,27163,1
F00890,430,27181,1
F00891,168,27193,1
F00892,438,27209,1
F00893,255,27229,1
F00894,130,27271,1
F00895,331,27283,1
F00896,163,27316,1
F00897,348,27360,1
F00898,344,27402,1
F00899,454,27431,1
F00900,134,27467,1
F00901,403,27515,1
F00902,482,27531,1
F00903,421,27542,1
F00904,107,27579,1
F00905,109,27624,1
F00906,261,27663,1
F00907,447,27676,1
F00908,482,27719,1
F00909,350,27757,1
F00910,121,27797,1
F00911,129,27821,1
F00912,363,27843,1
F00913,435,27865,1
F00914,264,27913,1
F00915,249,27963,1
F00916,388,27994,1
F00917,316,28021,1
F00918,350,28056,1
F00919,208,28101,1
F00920,250,28120,1
F00921,481,28168,1
F00922,208,28199,1
F00923,370,28224,1
F00924,281,28260,1
F00925,472,28288,1
F00926,166,28331,1
F00927,237,28352,1
F00928,464,28384,1
F00929,481,28396,1
F00930,314,28440,1
F00931,325,28468,1
F00932,234,28506,1
F00933,309,28531,1
F00934,119,28558,1
F00935,461,28598,1
F00936,127,28612,1
F00937,273,28654,1
F00938,339,28701,1
F00939,426,28725,1
F00940,300,28773,1
F00941,341,28811,1
F00942,410,28831,1
F00943,342,28857,1
F00944,298,28907,1
F00945,271,28935,1
F00946,250,28949,1
F00947,128,28976,1
F00948,473,28994,1
F00949,432,29007,1
F00950,480,29048,1
F00951,369,29059,1
F00952,366,29082,1
F00953,325,29099,1
F00954,136,29138,1
F00955,185,29167,1
F00956,284,29198,1
F00957,172,29219,1
F00958,225,29252,1
F00959,430,29283,1
F00960,230,29300,1
F00961,491,29343,1
F00962,254,29384,1
F00963,252,29405,1
F00964,132,29418,1
F00965,477,29458,1
F00966,430,29498,1
F00967,479,29521,1
F00968,378,29543,1
F00969,315,29570,1
F00970,335,29601,1
F00971,104,29636,1
F00972,256,29686,1
F00973,467,29730,1
F00974,411,29765,1
F00975,250,29804,1
F00976,150,29851,1
F00977,486,29864,1
F00978,285,29894,1
F00979,385,29910,1
F00980,194,29935,1
F00981,272,29979,1
F00982,234,30020,1
F00983,462,30063,1
F00984,157,30080,1
F00985,323,30122,1
F00986,351,30138,1
F00987,177,30159,1
F00988,177,30190,1
F00989,473,30232,1
F00990,263,30247,1
F00991,112,30266,1
F00992,259,30293,1
F00993,399,30317,1
F00994,409,30345,1
F00995,476,30364,1
F00996,259,30380,1
F00997,408,30412,1
F00998,204,30427,1
F00999,124,30439,1
F01000,213,30480,1
